date,ground,margin,team_1,team_2,winner
"Mar 26, 2022",Wankhede,6 wickets,Super Kings,KKR,KKR
"Mar 27, 2022",Brabourne,4 wickets,Capitals,Mumbai,Capitals
"Mar 27, 2022",DY Patil,5 wickets,Punjab Kings,RCB,Punjab Kings
"Mar 28, 2022",Wankhede,5 wickets,Titans,Super Giants,Titans
"Mar 29, 2022",Pune,61 runs,Sunrisers,Royals,Royals
"Mar 30, 2022",DY Patil,3 wickets,RCB,KKR,RCB
"Mar 31, 2022",Brabourne,6 wickets,Super Giants,Super Kings,Super Giants
"Apr 1, 2022",Wankhede,6 wickets,KKR,Punjab Kings,KKR
"Apr 2, 2022",DY Patil,23 runs,Mumbai,Royals,Royals
"Apr 2, 2022",Pune,14 runs,Titans,Capitals,Titans
"Apr 3, 2022",Brabourne,54 runs,Super Kings,Punjab Kings,Punjab Kings
"Apr 4, 2022",DY Patil,12 runs,Sunrisers,Super Giants,Super Giants
"Apr 5, 2022",Wankhede,4 wickets,Royals,RCB,RCB
"Apr 6, 2022",Pune,5 wickets,KKR,Mumbai,KKR
"Apr 7, 2022",DY Patil,6 wickets,Super Giants,Capitals,Super Giants
"Apr 8, 2022",Brabourne,6 wickets,Punjab Kings,Titans,Titans
"Apr 9, 2022",DY Patil,8 wickets,Super Kings,Sunrisers,Sunrisers
"Apr 9, 2022",Pune,7 wickets,RCB,Mumbai,RCB
"Apr 10, 2022",Brabourne,44 runs,KKR,Capitals,Capitals
"Apr 10, 2022",Wankhede,3 runs,Royals,Super Giants,Royals
"Apr 11, 2022",DY Patil,8 wickets,Sunrisers,Titans,Sunrisers
"Apr 12, 2022",DY Patil,23 runs,Super Kings,RCB,Super Kings
"Apr 13, 2022",Pune,12 runs,Mumbai,Punjab Kings,Punjab Kings
"Apr 14, 2022",DY Patil,37 runs,Royals,Titans,Titans
"Apr 15, 2022",Brabourne,7 wickets,Sunrisers,KKR,Sunrisers
"Apr 16, 2022",Brabourne,18 runs,Mumbai,Super Giants,Super Giants
"Apr 16, 2022",Wankhede,16 runs,Capitals,RCB,RCB
"Apr 17, 2022",DY Patil,7 wickets,Punjab Kings,Sunrisers,Sunrisers
"Apr 17, 2022",Pune,3 wickets,Titans,Super Kings,Titans
"Apr 18, 2022",Brabourne,7 runs,Royals,KKR,Royals
"Apr 19, 2022",DY Patil,18 runs,Super Giants,RCB,RCB
"Apr 20, 2022",Brabourne,9 wickets,Capitals,Punjab Kings,Capitals
"Apr 21, 2022",DY Patil,3 wickets,Mumbai,Super Kings,Super Kings
"Apr 22, 2022",Wankhede,15 runs,Capitals,Royals,Royals
"Apr 23, 2022",DY Patil,8 runs,KKR,Titans,Titans
"Apr 23, 2022",Brabourne,9 wickets,RCB,Sunrisers,Sunrisers
"Apr 24, 2022",Wankhede,36 runs,Super Giants,Mumbai,Super Giants
"Apr 25, 2022",Wankhede,11 runs,Punjab Kings,Super Kings,Punjab Kings
"Apr 26, 2022",Pune,29 runs,RCB,Royals,Royals
"Apr 27, 2022",Wankhede,5 wickets,Titans,Sunrisers,Titans
"Apr 28, 2022",Wankhede,4 wickets,Capitals,KKR,Capitals
"Apr 29, 2022",Pune,20 runs,Punjab Kings,Super Giants,Super Giants
"Apr 30, 2022",Brabourne,6 wickets,Titans,RCB,Titans
"Apr 30, 2022",DY Patil,5 wickets,Royals,Mumbai,Mumbai
"May 1, 2022",Wankhede,6 runs,Capitals,Super Giants,Super Giants
"May 1, 2022",Pune,13 runs,Sunrisers,Super Kings,Super Kings
"May 2, 2022",Wankhede,7 wickets,KKR,Royals,KKR
"May 3, 2022",DY Patil,8 wickets,Titans,Punjab Kings,Punjab Kings
"May 4, 2022",Pune,13 runs,RCB,Super Kings,RCB
"May 5, 2022",Brabourne,21 runs,Capitals,Sunrisers,Capitals
"May 6, 2022",Brabourne,5 runs,Titans,Mumbai,Mumbai
"May 7, 2022",Wankhede,6 wickets,Punjab Kings,Royals,Royals
"May 7, 2022",Pune,75 runs,Super Giants,KKR,Super Giants
"May 8, 2022",Wankhede,67 runs,Sunrisers,RCB,RCB
"May 8, 2022",DY Patil,91 runs,Super Kings,Capitals,Super Kings
"May 9, 2022",DY Patil,52 runs,Mumbai,KKR,KKR
"May 10, 2022",Pune,62 runs,Super Giants,Titans,Titans
"May 11, 2022",DY Patil,8 wickets,Royals,Capitals,Capitals
"May 12, 2022",Wankhede,5 wickets,Super Kings,Mumbai,Mumbai
"May 13, 2022",Brabourne,54 runs,RCB,Punjab Kings,Punjab Kings
"May 14, 2022",Pune,54 runs,KKR,Sunrisers,KKR
"May 15, 2022",Wankhede,7 wickets,Super Kings,Titans,Titans
"May 15, 2022",Brabourne,24 runs,Super Giants,Royals,Royals
"May 16, 2022",DY Patil,17 runs,Punjab Kings,Capitals,Capitals
"May 17, 2022",Wankhede,3 runs,Mumbai,Sunrisers,Sunrisers
"May 18, 2022",DY Patil,2 runs,KKR,Super Giants,Super Giants
"May 19, 2022",Wankhede,8 wickets,RCB,Titans,RCB
"May 20, 2022",Brabourne,5 wickets,Royals,Super Kings,Royals
"May 21, 2022",Wankhede,5 wickets,Mumbai,Capitals,Mumbai
"May 22, 2022",Wankhede,5 wickets,Sunrisers,Punjab Kings,Punjab Kings
"May 24, 2022",Eden Gardens,7 wickets,Titans,Royals,Titans
"May 25, 2022",Eden Gardens,14 runs,Super Giants,RCB,RCB
"May 27, 2022",Ahmedabad,7 wickets,Royals,RCB,Royals
"May 29, 2022",Ahmedabad,7 wickets,Titans,Royals,Titans
